shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft
shot_lw_13,shot_lw_13.json,27.46,40.45,3.52,6737.5,0.00,6737.5,0.0,0.0,0.0,0.0,0.0
shot_lw_14,shot_lw_14.json,16.63,48.09,13.85,4133.7,20.06,3882.9,1417.8,0.0,0.0,0.0,0.0
shot_lw_15,shot_lw_15.json,47.74,29.72,2.34,5998.7,0.00,5998.7,0.0,41.4,45.1,3.7,21.3
shot_lw_16,shot_lw_16.json,52.57,37.20,5.56,5241.1,7.60,5195.1,692.9,50.6,51.8,1.2,36.6
shot_lw_17,shot_lw_17.json,55.36,37.35,7.30,5902.8,9.87,5815.5,1011.5,54.5,55.4,0.9,41.0
shot_lw_18,shot_lw_18.json,52.33,36.23,0.10,5373.7,13.17,5232.3,1224.3,50.0,51.3,1.3,34.7
shot_pw_1,shot_pw_1.json,48.44,29.04,5.59,4593.3,2.52,4588.9,201.9,42.6,47.8,5.2,21.0
shot_pw_10,shot_pw_10.json,83.58,25.18,1.37,5520.0,9.92,5437.5,950.8,105.5,107.9,2.4,59.2
shot_pw_11,shot_pw_11.json,76.63,21.19,2.89,5232.4,-5.55,5207.9,-505.6,89.9,94.2,4.3,37.9
shot_pw_2,shot_pw_2.json,57.80,26.75,2.79,4564.0,2.10,4560.9,167.5,57.9,61.9,4.0,27.4
shot_pw_3,shot_pw_3.json,69.78,29.37,8.09,6334.5,8.08,6271.6,890.6,79.4,80.6,1.2,48.8
shot_pw_4,shot_pw_4.json,68.60,29.11,3.83,6801.1,6.75,6753.9,799.5,76.8,77.8,1.0,46.6
shot_pw_5,shot_pw_5.json,77.39,28.89,4.54,6293.5,7.31,6242.3,801.2,93.0,94.2,1.2,60.1
shot_pw_6,shot_pw_6.json,76.27,28.17,3.68,5434.0,9.06,5366.3,855.3,92.3,94.4,2.1,55.8
shot_pw_7,shot_pw_7.json,79.68,28.14,4.44,5839.6,9.11,5765.9,924.9,97.9,99.5,1.6,61.5
shot_pw_8,shot_pw_8.json,76.43,28.21,1.55,5023.9,4.70,5007.0,411.9,93.4,95.9,2.5,55.9
shot_pw_9,shot_pw_9.json,86.42,24.09,0.20,5479.7,3.71,5468.2,354.1,111.1,113.7,2.6,60.9
