shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
p_wedge_shot_1,p_wedge_shot_1.json,82.28,26.46,-3.15,4946.5,6.74,4912.3,580.3,105.7,116.1,10.5,58.3,4.32,22.52,47.03,100689.8,0.300469,0.221031,0.240708,0.284080,105.7
topped_test_shot,topped_test_shot.json,91.78,5.00,-0.89,2195.3,16.20,2108.2,612.3,55.5,109.1,53.5,4.2,1.38,33.38,6.64,112323.8,0.119540,0.204789,0.190066,0.190066,55.5
wedge_shot_1,wedge_shot_1.json,48.66,28.96,-1.27,5683.7,11.12,5577.0,1096.3,41.1,53.1,11.9,20.5,2.40,16.94,35.87,59555.9,0.583711,0.370369,0.345588,0.345588,41.1
wedge_shot_2,wedge_shot_2.json,51.83,37.03,2.37,5652.0,9.08,5581.2,891.7,48.7,61.2,12.6,34.9,3.08,18.07,45.46,63425.0,0.545045,0.310119,0.360285,0.360285,48.7
wedge_test_shot,wedge_test_shot.json,66.40,23.20,-1.40,6449.0,7.10,6399.0,793.0,72.1,88.2,16.1,30.7,3.23,19.72,34.46,81261.2,0.485321,0.277836,0.307984,0.348699,72.1
wedge_test_shot2,wedge_test_shot2.json,54.70,26.80,1.60,4976.0,5.70,4951.0,494.0,53.3,70.1,16.8,25.2,2.79,18.38,35.72,66942.6,0.454603,0.295301,0.370085,0.373606,53.3
wood1,wood1.json,124.20,6.70,-8.10,4528.0,4.80,4512.0,378.0,162.4,162.4,-0.0,30.1,4.00,27.75,21.60,151997.7,0.182197,0.243894,0.209902,0.221822,162.4
wood2,wood2.json,118.80,14.50,-3.30,3026.0,11.20,2968.0,586.0,175.2,181.3,6.1,56.0,4.73,27.51,31.44,145389.1,0.127270,0.214696,0.177938,0.179994,175.2
wood_low_test_shot,wood_low_test_shot.json,114.46,6.95,-0.63,1932.5,-1.42,1931.9,-47.8,123.9,180.9,57.0,16.0,2.80,33.72,12.66,140079.8,0.084380,0.196706,0.165532,0.165595,123.9
s2_shot_10,shot_10.json,89.70,25.51,-3.13,6446.1,6.16,6408.9,691.6,118.5,126.6,8.0,66.0,4.74,22.09,47.73,109779.2,0.359143,0.239233,0.228748,0.289487,118.5
s2_shot_11,shot_11.json,78.51,29.59,4.31,7349.8,10.69,7222.3,1363.2,91.9,96.4,4.5,60.4,4.35,20.50,48.85,96081.2,0.467873,0.280118,0.280271,0.312453,91.9
s2_shot_12,shot_12.json,90.80,24.49,-3.88,7260.6,4.91,7233.9,621.5,116.6,122.4,5.7,65.1,4.76,21.29,47.58,111117.8,0.399648,0.264187,0.243274,0.311339,116.6
s2_shot_13,shot_13.json,95.22,19.62,-1.09,5609.6,12.20,5482.8,1185.8,123.5,128.0,4.5,51.3,4.28,22.65,40.10,116536.1,0.294416,0.240270,0.234293,0.268000,123.5
s2_shot_14,shot_14.json,87.13,22.37,-2.00,5660.3,11.37,5549.3,1115.6,108.1,112.2,4.1,49.1,4.10,21.61,41.21,106633.6,0.324668,0.251885,0.224737,0.268979,108.1
s2_shot_15,shot_15.json,88.14,14.21,-0.32,4985.2,19.37,4703.0,1653.5,98.0,98.0,0.0,26.1,3.16,23.58,25.36,107862.6,0.282684,0.245162,0.252277,0.270478,98.0
s2_shot_16,shot_16.json,94.07,19.14,-5.93,5291.1,4.96,5271.3,457.7,123.8,129.9,6.1,51.5,4.28,23.03,40.37,115119.9,0.281118,0.229885,0.257927,0.273704,123.8
